daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,41.60988275586146,39.887615320296106,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,36.881504796881416,30.318806416246787,33.32929269261416,36.31652482233511,38.59644009224223,40.004135242311804,41.22109462534138,43.073597082963886,44.4681139864407,45.17399751921812,45.11871051235141,44.14809753903842,
temp in shade while standing,42.14056010250994,40.42569912226793,37.39607295503163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.973942386082285,34.00251600572574,36.92284442958322,39.00925920959122,40.19328670260353,41.318028667201816,43.20321786832682,44.68755319319018,45.523287541119316,45.542786125525936,44.502636922258205,
temp in open while lying,45.104820305582564,41.29705239280304,36.42782404203501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.92926407068245,34.71158409284271,39.70217630462594,44.135043401936855,47.72616112771209,50.487316250544666,52.64589324944484,53.676492593288,53.5359224187369,52.215858982861334,49.74695904939921,
temp in open while standing,45.2471025813968,41.639168851520935,36.88132311026993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.587784869384166,35.25495721109644,39.97307102047114,43.8806888550065,46.802358527792705,49.19793261751511,51.488167293380116,52.781511296766155,52.96652520815479,51.88987015972634,49.43647315867668,
temp on shaded tree while lying at the height of: 3 cm,41.958430254785355,40.25300648768672,36.95401231104495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.373857420885997,33.70189190457421,36.67013625556922,38.84656655109359,40.13650380703791,41.26046577565978,43.06802954566609,44.46913474056851,45.23125712157366,45.266641495056206,44.39963656991915,
temp on shaded tree while lying at the height of: 12 cm,43.32902674780024,41.48356833731361,37.537697801472234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.165721213820632,34.0822466631779,37.44904007816422,39.735288625252,40.927236266132695,41.99052543133166,44.001909578637026,45.67103776111287,46.632513741569824,46.772107958432855,45.83983915679744,
temp on shaded tree while lying at the height of: 21 cm,43.766819363986826,41.95516516419974,37.76495786344532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.10974547421455,34.211930873217,37.65719504289336,39.92420058269266,41.01391552437059,42.012060475874875,44.07365687499407,45.820776171687726,46.87451056018739,47.12869934504272,46.21894578248691,
temp on shaded tree while lying at the height of: 30 cm,43.99437276676775,42.238075935430345,37.90169910281509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.08069699001436,34.28466656856352,37.76422092633203,39.98190172251333,40.99706111799287,41.94834269344466,44.0266212159616,45.816655736893324,46.933494136381285,47.25284650201729,46.407589731878886,
temp on shaded tree while lying at the height of: 48 cm,44.26489936347622,42.59593951087038,38.08661151804705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.056604822845998,34.38213145122387,37.8594550575981,39.996477909402074,40.89886114040007,41.76532007108699,43.8446211139904,45.68604365760933,46.89173743245607,47.335220774141476,46.58329706749339,
temp on shaded tree while lying at the height of: 66 cm,44.413650086768314,42.8251655417223,38.20176438776787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.043316478577708,34.435200699979134,37.905979038832925,39.982377621373075,40.786176045378625,41.58225353258092,43.65715783871127,45.52080209444739,46.8017695770518,47.3202838803619,46.661413205925555,
temp on shaded tree while lying at the height of: 84 cm,44.51098772522357,42.99730124374372,38.28673506031333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.03585004453015,34.475369256858755,37.93382420595742,39.93561576172391,40.6780144202786,41.42375527552514,43.47731378371941,45.36456365574446,46.69697300075694,47.28478554922282,46.69147770721736,
temp on shaded tree while lying at the height of: 102 cm,44.58762521996721,43.134086546242486,38.35341389610318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.036166042164723,34.510302044569016,37.94640050512663,39.905169643873194,40.57672678155069,41.279549276052364,43.3158054470145,45.216272218872234,46.587614677064664,47.23931372462698,46.70321428474563,
temp on shaded tree while lying at the height of: 120 cm,44.646877446850795,43.25197447959232,38.41719870760494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.03346570014196,34.530076748733734,37.94687067265926,39.85932135239767,40.48131045744208,41.138023290382705,43.1693851911229,45.090379143105736,46.48591638457424,47.18829381919528,46.71129541549709,
temp on shaded tree while lying at the height of: 138 cm,44.68822660409228,43.3475599362385,38.46594284467386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.03436890389287,34.552942598855225,37.94490423327136,39.82060871600436,40.38826251839055,41.01746180332361,43.035364194358976,44.96072176812521,46.38988706875921,47.13631430691447,46.71209396627171,
temp on shaded tree while lying at the height of: 156 cm,44.72329504401455,43.42367652359803,38.50773543437697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.037708587337477,34.57024603267331,37.95027696382033,39.783129436381444,40.30613510833979,40.89968978715484,42.90243660016347,44.84730367914506,46.30281313424217,47.08685339702481,46.6994119404946,
temp on shaded tree while lying at the height of: 174 cm,44.758229061165764,43.501597930212654,38.54278134474998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.033908081240554,34.58546364649709,37.946415646306946,39.74556682856502,40.23641638473072,40.79314020176497,42.794536144654614,44.73664069444732,46.21092370506602,47.03316830844551,46.69985934226878,
temp on shaded tree while lying at the height of: 198 cm,44.79331149307063,43.581868980338186,38.586978912620964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0373962145714,34.60351245790332,37.93945858715625,39.686264630149935,40.1324885098893,40.666354660462844,42.65122479631367,44.59683830077245,46.097052213371796,46.97435255639266,46.68048269746822,
temp on shaded tree while standing at the height of: 3 cm,42.54456398403801,40.890768905612845,37.6424487183358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.157221498335105,34.420366576445076,37.276316749236344,39.21754865744549,40.236075272873734,41.238102172985464,43.09077436981761,44.60536382875176,45.52587985258697,45.66857375505168,44.7643971660973,
temp on shaded tree while standing at the height of: 12 cm,44.63638796697967,42.69567371893413,38.4955275120372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.83051470905241,34.98953347405467,38.499501184796145,40.68575998029672,41.64005947395145,42.61272614977804,44.79174142347307,46.69379507335299,47.869620576239015,48.10891240161362,47.041706726785776,
temp on shaded tree while standing at the height of: 21 cm,45.32906357584267,43.38919433977412,38.82551824248975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.73519045190153,35.187917640759565,38.85376612918242,41.0606192064206,41.91355125518305,42.82386616660352,45.09352423249379,47.106205915146404,48.397606362773786,48.7690959056232,47.69566280503824,
temp on shaded tree while standing at the height of: 30 cm,45.699686258133966,43.80693496745482,39.02537082310704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.683734657020125,35.300851980072025,39.045018991805875,41.215877743424244,41.99333188140332,42.85992817359181,45.16544238509812,47.23784884486554,48.606483055711124,49.05238463741637,48.04221679752828,
temp on shaded tree while standing at the height of: 48 cm,46.147960272484625,44.33422208796151,39.29346065290861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.635019044074284,35.449937416362275,39.23430633286938,41.33614873468616,41.99494403800742,42.77281063240372,45.09723159131602,47.24346468878804,48.720444999292226,49.312242992207075,48.39913694776743,
temp on shaded tree while standing at the height of: 66 cm,46.40346735922901,44.67350872912971,39.4617610009621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.606589859516248,35.53412887589235,39.33717153146034,41.38446448669424,41.93501004342062,42.634952341362634,44.96453583440598,47.14022766805738,48.71211638967128,49.39050304254846,48.58430848535602,
temp on shaded tree while standing at the height of: 84 cm,46.57538082722016,44.927219624658846,39.58594890699004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.588925931878066,35.597264260337056,39.40402958168812,41.37215982769129,41.85611094724504,42.503378532622094,44.8115173299048,47.02100142559891,48.65511229589271,49.41794661179904,48.68260006014134,
temp on shaded tree while standing at the height of: 102 cm,46.710683695339696,45.129264573317926,39.683402590067544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.582636519790356,35.650529529890036,39.44421787900296,41.37079040613048,41.77448660154806,42.37361868676686,44.664285461290945,46.892521303654746,48.57481279050751,49.41417623197674,48.74576759577883,
temp on shaded tree while standing at the height of: 120 cm,46.81635802622952,45.30156232206002,39.77445978969172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.574194665502887,35.68385864392434,39.46453206317619,41.34262596663393,41.690773091281756,42.23718730815352,44.52650350323779,46.78214251463123,48.493216140681966,49.39397621945932,48.79524160043883,
temp on shaded tree while standing at the height of: 138 cm,46.89587623586442,45.44340028631706,39.84570122079242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.571011323759876,35.71948768480809,39.47911213425567,41.318428680660475,41.604111442408055,42.12078075945533,44.39631719516984,46.65790731840315,48.4115728117892,49.364045963036574,48.82990559552928,
temp on shaded tree while standing at the height of: 156 cm,46.96196152609116,45.556775617793676,39.90678269805085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.57138907641462,35.74698706187269,39.5000622286168,41.29172844876729,41.52701274449663,42.002074902532,44.261413745266395,46.549027336471056,48.33466242987231,49.3336271393012,48.840698873644214,
temp on shaded tree while standing at the height of: 174 cm,47.02574405192689,45.67066075053822,39.958003643980646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.56358700774217,35.771446199768775,39.50750898278312,41.26275872995478,41.46161541053158,41.89338991596583,44.1546442874527,46.43789036383595,48.24655144591577,49.29287848555663,48.86650304004655,
temp on shaded tree while standing at the height of: 198 cm,47.09399184391259,45.79010801079414,40.022600089330524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.56418185397581,35.800035018018775,39.512623459011934,41.20849846169,41.356991426483944,41.763714424554735,44.006769284197446,46.29475017589942,48.13474882967296,49.24883626304012,48.869619516073556,
temp on open tree while lying at the height of: 3 cm,51.68635167889232,47.67595337042275,39.07020057171178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.78898342333696,41.49369156212646,46.433185660307345,49.48672009044088,50.91294763627252,51.19511217882405,51.30357735982466,52.31926372787143,54.29757899921418,55.4499111926076,55.03115145114947,
temp on open tree while lying at the height of: 12 cm,52.72442031061178,48.761047949302736,39.62550034570069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.595241600767054,41.760236522996536,46.931766966686666,49.88768209498585,50.98943360296977,51.04013812756051,51.30562774913682,52.64247660331125,54.90640595966545,56.288423508121696,55.95131838092345,
temp on open tree while lying at the height of: 21 cm,52.89739376364679,49.07938608775527,39.81255462983029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.52858245743346,41.78743614214062,46.91559494334774,49.72159362774636,50.57927031758658,50.44983526427774,50.746268146285445,52.17681331303015,54.59330603184543,56.17055599984462,55.93119799412392,
