daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 30 cm,-3.3627824700042765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.002044213710803,-5.004385618767799,-2.069934692585832,0.37868389977825245,1.7456041531946767,2.3262336541714603,2.615558054002747,2.4301262977259057,1.5817155819668756,
temp on shaded tree while standing at the height of: 48 cm,-3.8287254006122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.367104598075969,-5.25825830371474,-2.3008714314353256,0.1415274698276221,1.5451166827425595,2.235634460706933,2.620069288139973,2.497558933432515,1.6455529443642831,
temp on shaded tree while standing at the height of: 66 cm,-4.166920142245374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.625335457449125,-5.442446854908269,-2.4615692507367157,-0.045444522205684734,1.381622291592521,2.1550464558787894,2.6134955555443184,2.5431638629445388,1.6892539447346167,
temp on shaded tree while standing at the height of: 84 cm,-4.42071095775151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.813514902025702,-5.581861643870013,-2.585936161569805,-0.20498996022644178,1.2444906467262058,2.075908042656067,2.6076137456752235,2.5816496993379587,1.7185663648256764,
temp on shaded tree while standing at the height of: 102 cm,-4.632869855337617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.965249368052355,-5.689858389439337,-2.6909910483417434,-0.3339067953922381,1.1207389825887049,2.01544985243072,2.599988999467996,2.6051459249526374,1.7437713518402234,
temp on shaded tree while standing at the height of: 120 cm,-4.808958698043057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.090905975000908,-5.780694530748292,-2.7863932458064937,-0.45202007500517993,1.0134508690715052,1.9590933964370265,2.5858762384089005,2.6303198778419983,1.7666548551268875,
temp on shaded tree while standing at the height of: 138 cm,-4.96382086739834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.193557816141208,-5.852923914999508,-2.86784933719872,-0.5479745697522276,0.9241999325157622,1.908830442213798,2.5769120290245837,2.6440812894176133,1.7880345497613348,
temp on shaded tree while standing at the height of: 156 cm,-5.103851439927041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.293491079761338,-5.926867620470205,-2.9347007675555687,-0.6436126822850383,0.844480230625436,1.8550859329049558,2.5641269240092583,2.6619950413619904,1.7981015667185147,
temp on shaded tree while standing at the height of: 174 cm,-5.228718816508149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.376831296988769,-5.986349400231461,-2.9975534169752223,-0.7286078234965316,0.7629261602851329,1.8200735993077615,2.5589926561427774,2.670092494545713,1.8171346228761536,
temp on shaded tree while standing at the height of: 198 cm,-5.380027161000896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.471838680814699,-6.053816241790628,-3.0791302655430854,-0.829204197214608,0.6681134554808636,1.7637621787359876,2.54576262486961,2.689147294132283,1.8380450941292565,
temp on open tree while lying at the height of: 3 cm,-0.19464838434805642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.680786916490547,2.961226059511489,7.406342528682558,9.841127791902863,10.881097901968474,11.272303824481014,11.170631331532434,10.149361447028866,8.231481663589307,
temp on open tree while lying at the height of: 12 cm,-1.082800206504544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.518444059559442,2.3102271704390773,6.836832993214784,9.361110594427942,10.495628781505047,11.039350326285444,11.094595949348786,10.206092951382288,8.237849565323586,
temp on open tree while lying at the height of: 21 cm,-1.502789134543093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.880664140674753,1.9819300336924925,6.473188805216466,8.985752505892378,10.16851887765057,10.779001922696068,10.936213278010086,10.150815038882456,8.180424612600348,
temp on open tree while lying at the height of: 30 cm,-1.7751938356715868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.112952843657467,1.7566086939225443,6.2012092845897655,8.707221545448078,9.906712595680006,10.568224004839635,10.793782330114311,10.094585557443565,8.135272171896588,
temp on open tree while lying at the height of: 48 cm,-2.1541194437019726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.419865375209213,1.4465322058277934,5.799611507250802,8.280470779871678,9.508713022530515,10.24152929138387,10.570069413684621,9.99436988754627,8.048032614433339,
temp on open tree while lying at the height of: 66 cm,-2.4229333840983713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.637907753485251,1.2258005490311916,5.512300380697582,7.959113149491998,9.2151465508951,9.98357031088483,10.390594834358808,9.91512008165921,7.982772094843597,
temp on open tree while lying at the height of: 84 cm,-2.6259744013525506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.793416426464489,1.0526228230847323,5.2701793369885195,7.705278375814885,8.971616662576366,9.77569219360521,10.245450697089439,9.844192604729813,7.927631150755872,
temp on open tree while lying at the height of: 102 cm,-2.7974995410746715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.923772298813276,0.914217533961164,5.077189798943721,7.486114758205304,8.765938535992689,9.600550787191423,10.12347226052907,9.786943763882618,7.880290666642338,
