daylight?,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,
temp on open tree while standing at the height of: 3 cm,41.546634412761534,38.2047363887732,31.41713209177243,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.76908402377194,31.22088452165849,35.72205377934455,38.866699896834575,40.08909992367569,40.906424376624386,41.0830911248695,41.200526962266395,42.29211045130768,42.61855995884207,42.57409240547963,40.54525041894237,
temp on open tree while standing at the height of: 12 cm,40.90188325363249,37.40069718863265,30.591098096232486,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.386653018614027,28.72848835118384,34.146532592826134,37.799377285316496,38.78963332756291,39.55624350974159,39.76197511671887,39.89445802124135,40.99274179767036,41.46358421297424,41.608057017202384,39.777130448976436,
temp on open tree while standing at the height of: 21 cm,40.32467648058696,36.90248074306453,30.22054120640894,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.26520969203716,27.727599619012892,33.44290228504809,37.18610313634554,37.93798404290749,38.539424935381646,38.65387736778928,38.74371267769283,39.82563914695237,40.41406041451364,40.71774830351973,39.10168041975214,
temp on open tree while standing at the height of: 30 cm,39.86659315121102,36.540547430756305,29.975614437915112,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.191516182650048,27.102970555805257,32.9755846231991,36.75898192837428,37.30792592537534,37.756005777405676,37.79531167040642,37.84011328037553,38.89631291815596,39.58817269395587,40.010261375856146,38.56770974219819,
temp on open tree while standing at the height of: 48 cm,39.156519601867046,36.003606117758466,29.63926577939924,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.108425453390055,26.294707925898194,32.34776358007849,36.129692626408996,36.37336125158589,36.58636636489388,36.48429005913397,36.449685000307625,37.48112883438256,38.316122525307435,38.922732020018884,37.7536117873762,
temp on open tree while standing at the height of: 66 cm,38.624884811332834,35.614501078928754,29.41175142115941,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.060578818675026,25.75698432607345,31.91350050792289,35.677337236917765,35.68231320652279,35.70677028376855,35.49035732324876,35.39800271322218,36.39956883084494,37.351934196587706,38.095059029564425,37.129675872725784,
temp on open tree while standing at the height of: 84 cm,38.18611278862198,35.30075229725048,29.230940040497558,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.023674736258215,25.362125391343056,31.577958316468482,35.321518593457824,35.13029073786436,34.994678818929,34.68295107369261,34.546662756682224,35.5210036485808,36.56915123579694,37.41905668717152,36.62683412424212,
temp on open tree while standing at the height of: 102 cm,37.81946782276731,35.03265145023181,29.09012843954747,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.995193913327398,25.03831201488083,31.304585050980847,35.02269382752695,34.66283626740977,34.397795175619365,34.00490029344468,33.818367355246494,34.78114344678852,35.903003817829074,36.84001523716012,36.20698154684584,
temp on open tree while standing at the height of: 120 cm,37.502218559615585,34.80735136303707,28.96018687111058,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.975060746275005,24.774832536349038,31.076289932941165,34.77138372723425,34.269997221429605,33.87782823392638,33.41251180949854,33.187937186192926,34.13083323850117,35.32271257176626,36.35088681019204,35.8353390725336,
temp on open tree while standing at the height of: 138 cm,37.21190876013952,34.61561109127916,28.85970098641036,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.958314481416608,24.550048488119955,30.875442739190817,34.54303575505685,33.91671322995609,33.41536223255571,32.887824624261725,32.63266525810383,33.56486940859838,34.814194388288456,35.902936085686804,35.50671825443021,
temp on open tree while standing at the height of: 156 cm,36.95867319990322,34.43636178901431,28.76668164374138,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.940310203257525,24.340688703728517,30.699553518063055,34.345587690999764,33.60190529518451,33.00835846363367,32.41862401682698,32.13107557160964,33.04508009634367,34.34996796858297,35.50797775477747,35.20789665070862,
temp on open tree while standing at the height of: 174 cm,36.72469483014214,34.270585277741134,28.686697467660565,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.925000052407597,24.16918243564163,30.541326410768534,34.16758385662678,33.3193111544939,32.637829769105565,31.99326180763444,31.678416138660907,32.579741420676214,33.93379782142887,35.144077829679134,34.9409453218658,
temp on open tree while standing at the height of: 198 cm,36.437553925163286,34.082220794468356,28.579214575175115,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.914816833478824,23.961864194830866,30.35322901778369,33.94212046885741,32.97670870280899,32.176781121052215,31.481510646860727,31.125875125676544,32.01505876841304,33.421505313755915,34.70890667303587,34.613982646039915,
temp in the burrow,24.809991455078148,24.890008544921898,24.510003662109398,23.749993896484398,22.929986572265648,22.159997558593773,21.469995117187523,20.850000000000023,20.270013427734398,19.709985351562523,19.170007324218773,18.649987792968773,18.320001220703148,18.510003662109398,19.089990234375023,19.640008544921898,19.980004882812523,20.640008544921898,21.580010986328148,22.529992675781273,23.420007324218773,24.159997558593773,24.770013427734398,25.140008544921898,
temp in chosen micro-environment,33.1,33.1,31.652652827671716,22.5940739141912,20.438506811184197,19.10265882060935,18.086814037645183,17.22509406854556,16.411841972550803,15.518161364387026,14.667802203241479,13.98658153727024,17.95476234084208,33.1,32.9755846231991,33.1,33.1,33.1,33.1,33.1,33.1,33.17915070336534,33.14243968011107,33.1,
last micro-environment in the current hour,shaded tree,open,open tree,shade,shade,shade,shade,shade,shade,shade,shade,shade,open tree,open tree,open tree,open tree,open tree,open tree,shade,open tree,open tree,shaded tree,shaded tree,shaded tree,
time in the burrow in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time in the shade in the current hour,0,0,0,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,60.0,0,0,0,0,0,
time in the open in the current hour,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,60.0,
time on an open tree in the current hour,0,0,60.0,0,0,0,0,0,0,0,0,0,60.0,60.0,60.0,60.0,60.0,60.0,0,60.0,60.0,0,0,0,
minutes active,60.0,60.0,60.0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,
minutes active in the open,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,
minutes active on an open tree,0,0,60.0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,60.0,60.0,60.0,0,60.0,60.0,0,0,0,
minutes active on a shaded tree,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,60.0,
is foraging?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
energy_lost in the current hour,70.06132468002883,70.06132468002883,60.70750943767748,12.379227010209126,10.00009536596449,8.761181512872604,7.92284851721268,7.274906127624819,6.712086637763319,6.143689909934549,5.647598881323432,5.279239379359648,7.819934752714209,70.06132468002883,69.20356749771639,70.06132468002883,70.06132468002883,70.06132468002883,70.06132468002883,70.06132468002883,70.06132468002883,70.6125385268055,70.3563418978936,70.06132468002883,
digesting efficiency,22.974853783507605,23.87389393725387,24.776965488390687,25.709072038028122,26.648501795678385,27.592445694271095,28.53979159865911,29.48999388369575,30.44286114354408,31.39861631642416,32.35707408678379,33.317661233438486,34.26544679131026,35.16448694505653,36.06386401109304,36.96290416483931,37.86194431858558,38.76098447233185,39.66002462607812,40.55906477982439,41.45810493357066,42.356931735701,43.25585739705645,44.15489755080272,
energy stored in the gut,4909.099346887975,5213.322252992465,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5507.676132410568,5811.899038515058,6115.273593444847,6419.496499549337,6723.719405653827,7027.942311758317,7332.165217862807,7636.388123967297,7940.611030071787,8245.373641105885,8549.885930672468,8854.108836776959,
maximum energy that can be stored in the gut,9347.199999999999,9347.199999999999,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,7410.841233009151,9347.199999999999,9366.31081770469,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9303.508811742333,9323.77329657869,9347.199999999999,
energy gained today,-28.48678852093545
energy balance for today,-1077.9208007762957
day:,7.7.1999
