daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 21 cm,-10.887494630810693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.763154049375544,-12.351712829233122,-11.16665211814427,-10.063212274212617,-9.1996075862088,-8.487112396290115,-7.966378074395152,-7.7496577242981175,-7.821818343103132,-7.925269233833717,
temp on shaded tree while standing at the height of: 30 cm,-11.161585891595905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.952003440466115,-12.42776946509423,-11.362451462281967,-10.342685279139403,-9.514187765239797,-8.80674615298068,-8.264094442531643,-8.007480160309001,-8.042096087425818,-8.145474771792351,
temp on shaded tree while standing at the height of: 48 cm,-11.51460787071278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.21966215021223,-12.475935581015392,-11.628885843299429,-10.718833602390305,-9.946247001069707,-9.256516508949574,-8.679792976206443,-8.363869819916431,-8.343252217070813,-8.440263243607035,
temp on shaded tree while standing at the height of: 66 cm,-11.763169783355295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.38406874885186,-12.51147385793604,-11.794171773131836,-10.97158872223332,-10.259138581616696,-9.58263261311157,-8.984896466509497,-8.62421517208304,-8.552544588619014,-8.655580398588484,
temp on shaded tree while standing at the height of: 84 cm,-11.940033248921736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.480036112981963,-12.513950329565205,-11.904865000914299,-11.164980073158176,-10.499126396897111,-9.834539026549635,-9.219019296277281,-8.82153610023056,-8.718102181199356,-8.814815443456723,
temp on shaded tree while standing at the height of: 102 cm,-12.08105571998351,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.583410485394324,-12.477549431927855,-12.001279045738045,-11.333564580489224,-10.703252377318393,-10.053000663946762,-9.420996208699478,-8.987773016929054,-8.851924400900941,-8.94851854303647,
temp on shaded tree while standing at the height of: 120 cm,-12.203627955194236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.652825490384998,-12.487705822042585,-12.077373685491693,-11.46959755991719,-10.869703519331551,-10.228750521468783,-9.589767887380901,-9.128042425041883,-8.96688428091096,-9.063364179851249,
temp on shaded tree while standing at the height of: 138 cm,-12.317027141345648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.694027200948142,-12.449942033945263,-12.153474115244705,-11.580244895068802,-11.013742079592532,-10.383182074544663,-9.738065929720506,-9.255613841010984,-9.068852658686467,-9.165214911927876,
temp on shaded tree while standing at the height of: 156 cm,-12.4042928624404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.734259024663118,-12.447936358776929,-12.19858715565249,-11.691158378584987,-11.150719634908967,-10.52353294904026,-9.858018161405937,-9.355688790996169,-9.151209452219064,-9.247506639029268,
temp on shaded tree while standing at the height of: 174 cm,-12.482622534748998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.777512077386916,-12.426908207522388,-12.254623436039708,-11.776500296087875,-11.264376015718256,-10.64938608355493,-9.979000458754342,-9.456545622248314,-9.226165124767078,-9.330238899850826,
