daylight?,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,
temp on shaded tree while standing at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.134847264193581,-13.447931973078141,-10.224123483312496,-8.504656265328492,-6.747579644278005,-5.612935954485806,-4.69591909779183,-4.263846607705148,-4.082707545750395,-3.6611585624850704,-5.43280868453121,nan,
temp on shaded tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.721177855090332,-14.069654444595812,-10.766442539379682,-9.042851213632957,-7.218306699156699,-6.044273783527615,-5.062449240095987,-4.58460371354505,-4.349175846025673,-3.8702668412745993,-5.653594944185045,nan,
temp on shaded tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.497932214313948,-14.929813672599607,-11.49687274026013,-9.747498314207917,-7.860985516366952,-6.6444210379456194,-5.591840707792187,-5.037056385787139,-4.703694710167895,-4.109729756980187,-5.949105075972113,nan,
temp on shaded tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.018837426639266,-15.47682658399151,-11.992150866846487,-10.232655605252603,-8.3309114574256,-7.0693564754098475,-5.969687829099939,-5.349140438921779,-4.9559072044472146,-4.286963655672821,-6.164183672955232,nan,
temp on shaded tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.378062804524916,-15.91446830551979,-12.3719833199483,-10.601237110431441,-8.675472068644638,-7.3979335822562575,-6.249455107715278,-5.588576138247618,-5.146246448314116,-4.405152304544572,-6.307074387950195,nan,
temp on shaded tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.697328603882795,-16.25367758234978,-12.678509673206065,-10.911766792811761,-8.959771610118196,-7.671065736032801,-6.492872368123301,-5.791295263275686,-5.297862253716858,-4.491984699908073,-6.448565536113165,nan,
temp on shaded tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.970892731859635,-16.55405299734025,-12.93633150462415,-11.185268548775127,-9.21026948905029,-7.905042313167598,-6.697616348410179,-5.957631926449551,-5.426841318860738,-4.578241874747107,-6.552668310834292,nan,
temp on shaded tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.163986783357018,-16.795993108860955,-13.153546103589179,-11.408547010717598,-9.43445075572771,-8.114858346969527,-6.872021399931896,-6.109254716340786,-5.533183233257432,-4.663963092222843,-6.624731313431994,nan,
temp on shaded tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.363327130544377,-17.000424767799416,-13.370534758379563,-11.602757522910906,-9.632042519473941,-8.300167758767657,-7.023244087893204,-6.23859226892705,-5.623846066133694,-4.723937289579965,-6.696544580188174,nan,
temp on shaded tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.55442672074389,-17.195734808506728,-13.531484890128525,-11.78887471639706,-9.79458294057656,-8.460759034674822,-7.16741041078086,-6.360838519801632,-5.714584902933439,-4.779012197858151,-6.768090061021894,nan,
