daylight?,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 84 cm,41.12049181610786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.625163224909386,37.083106448605406,39.79420975975444,42.44869067025189,44.39889859258409,45.57612185383181,46.76827461361694,47.438286910977865,47.66440208814697,47.23776457638951,46.563821119466866,45.621604471123305,44.600442025983796,
temp on shaded tree while standing at the height of: 102 cm,41.07629386032414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.60917554419467,36.976296984259534,39.636667485877865,42.31581056863058,44.23587980398628,45.360864300445996,46.51499937139175,47.180412963285335,47.41248419471464,47.01823107637318,46.396922805591544,45.55091712104627,44.63420594746515,
temp on shaded tree while standing at the height of: 120 cm,41.04343526963095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.59237249254318,36.88525836941005,39.5016538902633,42.19543328676775,44.08415927875626,45.16694013555906,46.287104097056556,46.93900875638701,47.18960142050247,46.81127667698297,46.24682905693055,45.48880445043466,44.66135131433322,
temp on shaded tree while standing at the height of: 138 cm,41.012259543816185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.5836914419354,36.79290325291504,39.382191189131106,42.07893749202651,43.94822478247079,44.981974659339585,46.08104982308839,46.719920602831394,46.97547816556903,46.632415186285186,46.10927393165093,45.43012451433981,44.68531891459514,
temp on shaded tree while standing at the height of: 156 cm,40.9921375384576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.56595067862594,36.71750770261207,39.270677827007205,41.97416332828874,43.81212485885686,44.80960887209608,45.88738585335307,46.52614935487577,46.78282177025551,46.458069073146305,45.98643685105475,45.37308018135468,44.704026032778415,
temp on shaded tree while standing at the height of: 174 cm,40.96246252675235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.55670432685781,36.641744937689566,39.16609917732006,41.8706336434023,43.69553695283662,44.64996862147001,45.71235053655943,46.33249293495561,46.60238067707485,46.301277152122736,45.87276343680452,45.3268188924842,44.72489061061327,
temp on shaded tree while standing at the height of: 198 cm,40.931263286359524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.53817706839334,36.55362917425333,39.03883152601475,41.750863387688696,43.54088291512852,44.46081900194844,45.490698546634576,46.11042322951033,46.38258441323467,46.102307550620026,45.72773082138576,45.25987452923516,44.74703368627411,
temp on open tree while lying at the height of: 3 cm,42.530363308808944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.64141665442179,43.32956560352426,47.72994334068915,49.98286221177301,51.799073332722116,52.772086359258424,53.718655433330184,54.970975565124036,56.222433136243524,56.64590009902008,55.98260820205593,53.883671151891235,49.46608858659329,
temp on open tree while lying at the height of: 12 cm,42.314525172020694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.596593554075014,43.07924209766372,47.319747034810746,49.80821021161154,51.54847082811955,52.36696824026677,53.2814947682715,54.49857306129968,55.72626575529529,56.124485689082746,55.48592373570733,53.509810036678005,49.835959907335905,
temp on open tree while lying at the height of: 21 cm,42.17235918251578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.55498576365733,42.89028489956962,46.99646797849772,49.4928922714185,51.143473392920555,51.844745015764886,52.69620935315953,53.88597986978681,55.148060905271905,55.575989408569114,55.02837148125582,53.1837750628473,49.686257559414344,
temp on open tree while lying at the height of: 30 cm,42.062422884965315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.52568535585527,42.74416516335691,46.746142798580536,49.2281128332545,50.80293175282657,51.400334799572136,52.2016400090659,53.39823927431871,54.66630616110649,55.1286814944537,54.65740890428282,52.928751106387836,49.5682136195457,
temp on open tree while lying at the height of: 48 cm,41.90567445162077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.481537155282695,42.52842054102348,46.36294808415721,48.80965257649001,50.259151709354796,50.71146003420375,51.445814609865124,52.612210045048585,53.91031484317233,54.443711642815344,54.0881540024439,52.5378025169656,49.388864555046894,
temp on open tree while lying at the height of: 66 cm,41.789830580993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.44414189003743,42.36998967088999,46.07731764411494,48.474009977877415,49.83558297518539,50.178279047312174,50.84906664703777,52.0111086955572,53.332457635176524,53.918196513766816,53.657703895244936,52.239663869142476,49.2493373246831,
temp on open tree while lying at the height of: 84 cm,41.70037546709847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.41783019756673,42.23242345051938,45.845886197712616,48.20397289836836,49.48445763489815,49.7438910914106,50.36506976768783,51.51429132322494,52.8567592095053,53.49165604402009,53.30670289074544,51.99668681983553,49.13146846988883,
temp on open tree while lying at the height of: 102 cm,41.624167718404806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.39000903131085,42.12060039904907,45.657116685397966,47.96807979891662,49.18168140443453,49.37044689076271,49.948978244586726,51.08813213054543,52.4547148785004,53.127027656710766,53.01152784324961,51.796488449473884,49.042720859835185,
temp on open tree while lying at the height of: 120 cm,41.555020575390245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.36845020758153,42.02958405948823,45.48532719620795,47.771260594565035,48.922515356648546,49.04818930866338,49.58809336095936,50.724319512108025,52.102829311010396,52.81072201594236,52.753420011840376,51.61737914040634,48.95334898661042,
temp on open tree while lying at the height of: 138 cm,41.50103830969573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.35374380650808,41.94514665068925,45.332874987759396,47.5843201443559,48.690310090674416,48.75363794393746,49.265941147563126,50.39227480794648,51.78551047245156,52.53044171748917,52.5234289174021,51.46179893913404,48.87879344865769,
temp on open tree while lying at the height of: 156 cm,41.44728222038225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.33867767956713,41.866987439652576,45.2016732124701,47.42205725233157,48.47961474680642,48.49107017106445,48.975778624442,50.09522352822347,51.507454008009915,52.273577797626615,52.317838935528016,51.31755594869503,48.812775836294634,
temp on open tree while lying at the height of: 174 cm,41.40060989249179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.32327559212928,41.7964537331801,45.07589508460177,47.26848254203196,48.28459292625928,48.253248672616735,48.70792076562179,49.828015185902586,51.246038036521725,52.04504272884026,52.13227504175927,51.1934336329698,48.753126489728515,
temp on open tree while lying at the height of: 198 cm,41.34436224754239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.29985678015936,41.71572932414176,44.93074267914369,47.091503177475715,48.047984155038705,47.96560898964225,48.390641422179385,49.5035600113668,50.93441549414945,51.7644368742657,51.90481505390471,51.037571065045825,48.681344714597,
temp on open tree while standing at the height of: 3 cm,42.85708766912239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.97649923414002,41.86837334063165,46.0225527423072,48.270478100616,50.266153967098205,51.56137269240145,52.772835607914885,53.86885132055244,54.70438768348225,54.66644809571602,53.737448924637306,51.70770340441544,47.506691072054934,
temp on open tree while standing at the height of: 12 cm,42.66608453923993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.9582284215129,41.69098202488692,45.76251612266185,48.489634598441,50.52961244926502,51.73967945391456,52.96309932475833,54.01871773841816,54.7897189293447,54.667649086825236,53.685631623296615,51.6913229550978,48.59756161433336,
temp on open tree while standing at the height of: 21 cm,42.51392133108402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.919922545001214,41.498209071057374,45.44086368604417,48.24145392699802,50.22054057460326,51.32211465433846,52.48011849215237,53.50181095138424,54.309404595227306,54.21016412203522,53.31999614361388,51.45198917067643,48.516839153450974,
temp on open tree while standing at the height of: 30 cm,42.391076739577386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.89060169797659,41.339558184531654,45.17426115189522,47.99298199466,49.906978202671894,50.90103011849527,52.002291892768255,53.03451849243464,53.84455193792559,53.78185736951525,52.976380513992865,51.23567356081054,48.4357752923903,
temp on open tree while standing at the height of: 48 cm,42.21097020046875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.844079795455514,41.09678002090209,44.748170054028606,47.56714575491992,49.36052829902576,50.197649050689336,51.224013643718365,52.218481520741705,53.0611424393897,53.08164731293721,52.409921934105625,50.87122239690177,48.29504850887474,
temp on open tree while standing at the height of: 66 cm,42.075077698087114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.80293001885536,40.91361078923734,44.42158337931966,47.20494308222732,48.90952663040099,49.626971695548434,50.5772431837504,51.56607319595082,52.43441844569753,52.5196897531431,51.96178385045744,50.57791953322436,48.17429652130431,
temp on open tree while standing at the height of: 84 cm,41.968857866710664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.773480897851016,40.75216331685118,44.15262308901157,46.906656338857374,48.52635923674404,49.149949108877934,50.040382882275935,51.01367484431847,51.90713035426694,52.05277431634141,51.5884392156384,50.33190414790158,48.06604569162471,
temp on open tree while standing at the height of: 102 cm,41.87753123975722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.74182600681621,40.61954626956589,43.93090869365233,46.641222882424415,48.18841495545951,48.732340478890364,49.571037708939286,50.53090589344248,51.454152584703195,51.64735238646978,51.26767385217278,50.12542768539976,47.98545951245336,
temp on open tree while standing at the height of: 120 cm,41.79430641880026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.71707027725256,40.51074750723035,43.72752769846346,46.41793895992612,47.897232894781894,48.36833596735488,49.159066855784545,50.11608778745125,51.05362030769817,51.291807474099016,50.98450614509892,49.93723591388908,47.89971267614965,
temp on open tree while standing at the height of: 138 cm,41.72879162570172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.70008408422859,40.409359993874716,43.545936470429524,46.20269408728956,47.63271120287777,48.03208223207821,48.78886873361279,49.7329585614782,50.688979960526694,50.97438505966437,50.72996943399585,49.7729792767596,47.82709098523901,
temp on open tree while standing at the height of: 156 cm,41.66360824969286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.68256406760736,40.314959627230735,43.388902807077784,46.01496484382051,47.39112546080844,47.72981927770036,48.45267283653391,49.388303311270874,50.3670619052553,50.6807803079829,50.500703270028964,49.61902084562456,47.762684045666276,
temp on open tree while standing at the height of: 174 cm,41.606550898182434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.66456129425802,40.229490628797464,43.23764014637834,45.835661022713,47.166065946891536,47.45520279335949,48.14058168641657,49.07669642162995,50.06320733422558,50.41816632496739,50.292389033706854,49.48607484819786,47.70331860567222,
temp on open tree while standing at the height of: 198 cm,41.53772757853983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.63708776780521,40.13135297275028,43.062416128667735,45.62862777045518,46.8909929484808,47.1207440479144,47.76922214150596,48.696442579378356,49.6987429483911,50.09423416301922,50.03547123428382,49.31731711825171,47.632645549897575,
temp in the burrow,41.4999938964844,40.68999633789065,39.8900085449219,39.18999633789065,38.55001220703127,37.95998535156252,37.45998535156252,37.02999267578127,36.67000732421877,36.32000122070315,35.92000732421877,35.98000488281252,36.42998657226565,37.17000732421877,38.1299987792969,39.15999755859377,40.15999755859377,41.07000122070315,41.83999023437502,42.45998535156252,42.85000000000002,42.9999938964844,42.83999023437502,42.42000732421877,
temp in chosen micro-environment,41.4999938964844,40.68999633789065,39.8900085449219,39.18999633789065,38.55001220703127,37.95998535156252,37.45998535156252,37.02999267578127,36.67000732421877,36.32000122070315,35.92000732421877,33.62134983206869,35.92990805574078,38.44028420405874,38.1299987792969,39.15999755859377,40.15999755859377,41.07000122070315,41.83999023437502,42.45998535156252,42.85000000000002,42.9999938964844,42.83999023437502,42.42000732421877,
last micro-environment in the current hour,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,shade,shaded tree,shaded tree,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,
time in the burrow in the current hour,60.0,60,60,60,60,60,60,60,60,60,60,0,0,0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,
time in the shade in the current hour,0,0,0,0,0,0,0,0,0,0,0,58.0,2.0,0,0,0,0,0,0,0,0,0,0,0,
time in the open in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,2.0,58.0,60.0,0,0,0,0,0,0,0,0,0,0,
time on an open tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,58.0,2.0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on an open tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on a shaded tree,0,0,0,0,0,0,0,0,0,0,0,2.0,58.0,0,0,0,0,0,0,0,0,0,0,0,
is foraging?,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,
energy_lost in the current hour,80.47260984050294,74.27081529255253,68.6149444731191,64.02037170089937,60.08953921085614,56.67972297020652,53.94208374182929,51.69374948574933,49.88370057571949,48.184615888072784,46.31361314931637,73.7728203994171,92.71807170474342,59.44024209018664,57.64190114804204,63.83049962249347,70.47388993086238,77.11846938411085,83.22770686277929,88.49683093191824,91.98104700973263,93.35725774128355,91.88993173067165,88.14722887449226,
digesting efficiency,22.153997300434746,23.036798877310492,23.9208516289991,24.806097964139756,25.6925135181081,26.580070923212013,27.468642501604016,28.35811946103266,29.24837743199346,30.139414441230155,31.031364968481615,31.929014177323733,32.82094179872375,33.707565123588736,34.594787337329684,35.4800868344129,36.36370366583096,37.24595429661428,38.12717661593027,39.00765867679381,39.88771608939608,40.76761874234657,41.64768665265451,42.528214044445754,
energy stored in the gut,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,722.541923824026,1030.319758216628,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,1353.8389594022758,
maximum energy that can be stored in the gut,7746.4,7746.4,7746.4,7746.4,7746.4,7746.4,7746.4,7746.4,7746.4,7746.4,7746.4,9059.414892698083,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,7785.090753231088,
energy gained today,-40.12287564444088
energy balance for today,-1726.3845394039984
day:,30.7.2098
