"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
3079,47.80158615,-109.0764771,"past","not climbing",281.4468456,13.57962658,296.0238009,7.946865455,267.258741,8.357524779,250677.7408,6.248842194,1133.79,138.95,108.9,278.65,169.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3110,57.42200089,-110.6597595,"past","not climbing",272.4942772,14.66279766,289.0776236,6.539053484,256.8186216,10.56172787,95034.54982,1.921961485,479.5516667,70.35,149.8,249.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3151,35.81063461,-107.3044586,"past","not climbing",284.49749,11.24686622,295.9068735,7.732489372,273.2490686,5.728592577,325632.6107,8.332587577,1425.545,179.9,94.15,295.35,201.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,46.54981232,-108.4393005,"past","not climbing",282.6573483,13.06385749,296.6489532,8.329518384,269.4972238,8.2163898,279973.6823,7.063269368,1249.85,150.45,104.25,283.7,179.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3216,56.55028915,-109.9349213,"past","not climbing",273.3814161,14.82715078,289.3411418,6.622751945,257.3129764,10.42641461,123682.1811,2.718365634,591.68,84.55,134.15,260.65,126.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3259,34.85005188,-106.8166199,"past","not climbing",287.535231,11.56206836,298.7076961,8.171295028,276.2107815,6.453859365,385611.1548,9.999991104,1697.885,205.9,72.1,306.5,234.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3291,45.28936005,-107.8251343,"past","not climbing",282.2350224,12.89245485,296.302267,8.550183599,269.5748806,7.756156868,266267.65,6.682241669,1187,141.4,113.95,287.75,173.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3323,55.36457443,-109.1828766,"past","not climbing",273.9931287,15.01401621,289.4206936,6.547636754,257.428386,10.80420062,128320.4549,2.847309645,606.125,91.45,128.45,265.75,137.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3370,33.23161697,-106.2900391,"past","not climbing",289.8591179,10.9735194,300.0391216,7.694131887,279.1638,6.546324335,432206.4729,11.29534095,1922.831667,233.65,49.8,316.05,266.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3402,43.6969223,-107.2000732,"past","not climbing",280.1472011,12.59413566,293.8042722,8.43254601,267.6803861,7.699182458,237595.0459,5.885143275,1046.828333,129.4,118.85,278.15,159.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3435,54.16500854,-108.4619293,"past","not climbing",275.5949963,14.81190096,291.4417892,6.745371091,258.9249081,8.129244794,158073.2369,3.674436986,731.835,105.55,126.5,263.3,136.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3487,31.94017029,-105.8060913,"past","not climbing",290.564562,10.82317189,300.3329848,7.433239303,279.9833817,6.898671062,430073.2536,11.23603745,1938.381667,245.9,44.25,325.9,281.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3519,42.4202652,-106.6315308,"past","not climbing",280.4790344,13.00162663,294.8099687,8.669596731,267.079534,7.211962409,243947.7748,6.06174914,1088.23,137.15,118.55,280.55,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3551,52.64121628,-107.7300568,"past","not climbing",276.7605915,15.09162387,292.5187953,7.152765443,259.5742915,9.066739911,185118.2318,4.426287844,844.1633333,116.2,121.45,267.1,145.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3603,29.99407196,-105.2961426,"past","not climbing",292.1044326,10.16497936,300.4279762,7.23686396,282.6876151,7.127102843,486124.5471,12.79426341,2179.338333,278.25,19.65,348.6,328.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3636,40.81099701,-106.0560608,"past","not climbing",275.1644949,11.24530348,287.3511433,6.901800612,264.0607426,6.926330818,166724.9267,3.914953963,735.9316667,110.55,139.75,269.6,129.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3669,51.41376114,-107.0701599,"past","not climbing",278.3818813,15.54221708,294.4478911,7.490220505,260.5284023,9.92014238,225476.1271,5.548237334,1022.97,131.1,114.55,273.05,158.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3720,28.37768936,-104.8266907,"past","not climbing",292.7172697,9.906413571,299.8197213,7.499726491,284.4114048,7.594239276,529410.5993,13.99761566,2330.99,306.3,8.6,360.15,351.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3753,39.19467545,-105.5047455,"past","not climbing",277.1502427,11.17770389,289.0825308,7.206409353,266.3526416,6.477982033,149138.2069,3.426043151,673.9,105,140.1,269.1,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3786,49.85849762,-106.4041443,"past","not climbing",279.2579464,14.85793421,294.5631862,7.716907321,262.8294903,9.843375808,229054.6856,5.647721259,1034.118333,133,112.25,275.4,163.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3839,27.08984756,-104.3903503,"past","not climbing",293.3698833,9.701740488,299.9295272,7.519306261,285.5993117,7.782240155,562951.7576,14.93005986,2470.503333,323.1,4,362.6,358.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3871,37.5728302,-104.9761353,"past","not climbing",281.2072724,11.08171329,292.6594182,7.144969671,270.4427512,6.625948773,236666.6766,5.85933461,1048.731667,142.4,107.8,287.05,179.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3903,47.96862793,-105.7421112,"past","not climbing",282.0107961,14.5546354,297.4674466,8.25335144,266.3291953,9.148720435,266758.8246,6.695896323,1213.251667,150.7,103.15,283.55,180.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3936,58.20556259,-106.8251495,"past","not climbing",271.4196937,16.00950662,288.6250591,6.723934944,253.3180394,10.60974144,98238.09005,2.011019904,471.54,69.95,142.4,252.2,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3990,35.94689941,-104.4688721,"past","not climbing",285.8552925,11.18949219,296.7156585,7.934964812,275.1817853,6.796210536,345037.0455,8.872030866,1513.808333,191.55,76.95,305,228.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4021,46.06033707,-105.1168213,"past","not climbing",283.0513368,13.84778164,297.8394541,8.530832127,268.6735424,8.501540938,269590.3321,6.774612231,1225.608333,154.35,102.1,287.65,185.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4054,56.41824722,-106.050415,"past","not climbing",272.4279428,15.77179171,289.6085854,6.724191605,254.7830962,10.35674725,131596.3577,2.938379744,620.1,87.6,132.75,261.1,128.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4109,33.98987579,-103.9658508,"past","not climbing",290.1805873,11.43001163,301.128163,7.574326151,278.6365261,7.260719257,421951.5013,11.01025274,1906.885,234.55,44.75,318.45,273.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4141,44.46037292,-104.5460358,"past","not climbing",281.446406,12.77364264,295.2104995,8.012410522,268.3374678,7.613888085,251878.7074,6.282229065,1123.445,141.6,108.5,284.35,175.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4174,54.90902328,-105.3535156,"past","not climbing",273.7501144,16.07138328,290.5923455,6.690398159,255.644967,10.991771,160615.7047,3.745117591,739.8866667,102,126.3,266.65,140.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4229,32.36039352,-103.4998169,"past","not climbing",292.745824,11.10883604,303.1935677,7.276608526,281.3697495,7.170115958,438353.1815,11.46621945,2040.491667,266.35,25.35,341.25,315.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4261,42.85036469,-104.0005188,"past","not climbing",284.3405041,12.96048698,298.5348075,7.989019329,271.146825,7.436485728,304390.7795,7.74206467,1375.38,163.75,91.2,294.55,203.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4294,53.38020706,-104.6927185,"past","not climbing",275.5340699,15.47402127,292.5230011,7.018743796,258.2921485,7.576979883,177201.0944,4.206191425,816.0516667,111.1,124.15,265.7,141.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,54.30109787,-125.7001038,"past","not climbing",273.9794535,10.80943444,285.0510045,6.285197585,264.1905548,9.273909918,57626.76835,0.88202516,305.33,54.85,149.6,252.35,102.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
