"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
682,41.18867493,-119.2374878,"past","climbing",283.9373631,12.18804357,296.767289,9.41490977,272.130828,6.144109529,409576.5366,10.66622872,1798.035,180.05,96.15,300.2,204.05,29.96526178,60.45510885,10.41168717,188.9170459,73.35979454,10.91366875,15.72653672,89.04594531,10.95405469,13.646905,9.719539303
6862,43.43632889,-94.17285156,"past","climbing",282.2546155,14.22935228,297.1756585,7.187922569,265.8383849,8.051674476,366647.073,9.472789628,1648.3,171.9,93.1,300.6,207.5,18.90015425,52.97431868,3.349343235,197.433919,91.7899028,7.973214504,0.236882697,91.9876111,8.012388904,13.5084701,7.134953642
6895,53.927845,-93.15542603,"past","climbing",270.4375593,16.23899817,287.8071094,6.497252685,251.8174323,10.66851081,161298.2475,3.764092281,730.67,88.4,141.45,265.75,124.3,3.013942067,0.886838196,3.01394435,3,100,0,0,99.98362967,0.016370333,15.75130202,0.079621356
6931,35.56827545,-94.33782959,"past","climbing",288.9273178,11.23382003,300.1897342,6.537653304,277.1116676,7.519184209,514099.2773,13.57196091,2301.266667,247.9,30.6,340.8,310.2,41.48926069,77.55405256,3.043062767,197.3975807,80.27169544,19.72830456,0,80.21852112,19.78147888,10.04430776,6.652516754
6964,46.32556915,-93.46069336,"past","climbing",279.3058647,14.54478537,295.2842591,7.01636425,263.2820789,7.057190965,333703.931,8.556970281,1485.263333,153.7,109.45,291.85,182.4,8.868173792,32.54220118,3.404775464,197.8628049,96.50387433,2.786489906,0.70963576,97.19044858,2.809551421,13.6619143,3.913973362
6997,56.6581192,-92.26266479,"past","climbing",269.0415526,15.82832497,287.6898968,7.727465738,252.8759267,8.877724145,137572.5946,3.104519131,635.4483333,74.95,151.95,260.7,108.75,3.08962922,3.031622978,3.089630298,3,99.92786381,0,0.072136193,99.99879773,0.00120227,14.30035297,0.005404529
7032,38.82815933,-93.6774292,"past","climbing",286.3343413,12.43128274,299.1190824,7.114168296,272.8027734,8.019122523,425041.9655,11.09616764,1921.893333,205.5,63.25,320.45,257.2,30.40335339,67.61002967,3.21245647,197.0315231,86.04181919,13.92246844,0.035712373,85.97098965,14.02901035,12.21899253,8.016952266
7065,49.49767685,-92.65032959,"past","climbing",274.9306226,15.86348478,291.7146517,6.796331555,256.7352533,10.24818174,286629.4253,7.248299023,1257.453333,134.85,120.55,285.55,165,3.396874558,8.487881952,3.036314781,170.0286885,99.78851055,0.184942659,0.026546793,99.78408608,0.215913918,11.54357607,0.470606388
7100,31.92037201,-93.80780029,"past","climbing",293.0137947,10.51814658,302.657216,6.064439707,282.4908472,8.154384933,622814.4304,16.59424216,2802.57,303.05,7.05,360.65,353.6,67.56505813,91.68004527,3.129790399,196.7348646,66.85412519,33.10978654,0.036088272,66.7181927,33.2818073,8.763371202,7.208411333
7133,42.72299194,-92.89627075,"past","climbing",282.7775712,13.81753913,297.3487658,7.129696664,266.8399822,7.606448926,367837.6827,9.505888578,1657.781667,174.05,92,305.2,213.2,18.27755031,52.05478912,3.398021283,197.3811146,92.22866601,7.509987182,0.261346807,92.32947121,7.670528792,13.10843821,6.777247537
