"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
10783,42.17147064,-71.43005371,"future","not climbing",286.886667,11.538784,299.268574,5.86708535,274.4279042,7.093371266,334567.4394,8.580975816,1530.36,181.55,86.25,304.75,218.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10815,52.54262924,-66.4730835,"future","not climbing",274.4430107,14.68680181,290.6996182,6.304683469,257.8286424,9.602156678,112650.1077,2.411673995,554.2916667,82.05,137.1,263.35,126.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10850,50.65797424,-66.9927063,"future","not climbing",276.3572109,13.71897709,291.2218723,5.962562674,260.8636599,8.419218179,137825.4347,3.111548084,668.0366667,99.2,127.45,268.95,141.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10889,50.85230637,-66.35693359,"future","not climbing",276.3761694,13.95852689,291.5011078,6.0194775,260.6130914,8.719261588,153603.0638,3.550166174,730.5283333,104.8,126.25,268.85,142.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10926,50.44893646,-66.05328369,"future","not climbing",277.7740384,13.14759115,292.0315922,5.634197532,262.7976201,8.037578712,157329.5111,3.653761409,749.2533333,107.05,123.85,270.55,146.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10964,50.93645477,-65.24597168,"future","not climbing",276.1162037,13.49640641,290.7438945,5.939185004,260.9701965,8.516301129,125902.3259,2.780085659,617.3783333,94.15,128.95,268.4,139.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,53.52639389,-130.2478943,"future","not climbing",284.1947929,6.528776757,290.7077129,4.638134215,278.7739692,5.069633163,100863.284,2.084000297,562.245,93.85,117.35,272.25,154.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11036,52.18755341,-63.41040039,"future","not climbing",275.1833002,13.32602613,289.8537781,6.190027952,260.4374747,8.270728228,104627.7475,2.18865238,527.0066667,80.5,134.6,264.7,130.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11070,53.81216049,-61.78662109,"future","not climbing",276.7875023,10.46951231,289.9613007,7.081234509,267.5885477,3.31028622,75533.32911,1.379827549,411.4183333,61.3,156.1,263.85,107.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11107,50.37763977,-62.91439819,"future","not climbing",278.5583018,12.35395442,291.74458,5.647068211,264.7406886,8.105074581,151867.8558,3.501927391,732.9433333,107,124,271.65,147.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11140,53.74251175,-60.13140869,"future","not climbing",277.1216571,12.00310969,290.1189472,6.829224593,264.2052021,6.840462336,98840.84691,2.027776544,503.3716667,74.2,123.6,268.15,144.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11175,51.48460388,-60.58215332,"future","not climbing",277.0766906,12.92734518,291.1727998,6.521701184,262.9808956,8.008410547,142124.2162,3.231054211,682.5283333,96.4,130.65,271.9,141.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11209,51.23866653,-59.65396118,"future","not climbing",277.7105199,12.5900556,291.314358,6.324332681,264.0347583,8.016534148,143630.4993,3.272928879,695.9516667,98.5,126.4,268.5,142.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,46.2807045,-118.294754,"future","not climbing",289.362274,11.55464147,302.5320985,9.205124833,279.0435745,5.443921862,265909.6639,6.672289657,1292.535,180,90.25,302.95,212.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
