daylight?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.359893612235453,-11.219361772512457,-9.020540962837288,-8.087026394827603,-7.448635192430515,-7.017579639548558,-6.806004863745159,-6.887457558466224,-6.578252053100755,
temp on shaded tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.916038350819917,-11.70571537712766,-9.471944976186762,-8.618796101383055,-7.997449069885931,-7.550164343166273,-7.275466377529995,-7.26838053482669,-6.777270938306856,
temp on shaded tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.25895453450704,-11.996519811033465,-9.78395728110786,-8.985228050607873,-8.386873081035503,-7.9226597487160575,-7.600320313514715,-7.52435020420387,-6.913259373655933,
temp on shaded tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.513369493406003,-12.244850996306525,-10.024510791642001,-9.258862638669882,-8.692740925760518,-8.216068722083492,-7.844452557343288,-7.711464095853216,-6.9993933711034515,
temp on shaded tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.718538836381526,-12.407317434677566,-10.21088053479491,-9.479671204915462,-8.924496648197476,-8.446736456491521,-8.05243825221271,-7.866572031522594,-7.066980406113089,
temp on shaded tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.892967496058588,-12.553796573462364,-10.359068338998668,-9.68056547094568,-9.127143262095103,-8.642038322853125,-8.225551409225034,-7.990685398688527,-7.117467386153294,
temp on shaded tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.03777287032591,-12.69823025699344,-10.491620334333618,-9.848736984594552,-9.3115495360546,-8.818150564952532,-8.371586366638155,-8.096570648356646,-7.166424693754152,
temp on shaded tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.153868454518658,-12.80183319779627,-10.608853222708717,-9.98411558679328,-9.477426844057447,-8.96810241388988,-8.499996671951578,-8.192111578511344,-7.204550895183729,
temp on shaded tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.274830933426756,-12.891879910507043,-10.711084603932818,-10.11188187014352,-9.613408038538978,-9.10858271120668,-8.619071533826457,-8.287391080985799,-7.241911578168413,
temp on shaded tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.39456159130998,-13.012569728414121,-10.827501941250318,-10.260381532819963,-9.780591508754071,-9.259751264433987,-8.747996634525975,-8.382442062955704,-7.292148899000495,
temp on open tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.788503636555788,-0.677527631414705,3.864974397719436,5.871601509348693,6.851750091287499,7.04328198417204,6.298848436367393,4.032974211345163,-1.080820277516409,
temp on open tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.998219095481886,-1.9056633456188479,2.625526084536034,4.5119891925124875,5.469449589876774,5.72997596531809,5.135849714512801,3.097133057384326,-1.6109123437993276,
temp on open tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.416704240107265,-2.3626863292192297,2.1081715058003283,3.918160711464452,4.855980590154843,5.146202080956982,4.631454343328301,2.709273974497819,-1.7880572411702929,
temp on open tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.674043122372268,-2.6598422411662455,1.7782752970074398,3.5342925639927785,4.440463495783433,4.75510843853715,4.293681831396725,2.4642200392896143,-1.9094810427944253,
temp on open tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.992796165394964,-3.0423247924201178,1.343218583718624,3.006236867418238,3.8915562223744473,4.227869595043899,3.844675843555308,2.137115555280843,-2.0439480109235433,
temp on open tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.186565225434038,-3.2777088085904893,1.0427235867961713,2.6430321893126347,3.5025824728114117,3.8629464902607538,3.5327530475895514,1.9119872688256123,-2.1427097053700663,
temp on open tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.3310354032065,-3.4760085926275224,0.8129845676043601,2.3636093656865,3.2056011849990114,3.5741949061662126,3.2972227785244286,1.7478889941226043,-2.2013719695966074,
temp on open tree while lying at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.438495798547876,-3.6113129579634347,0.631918847786892,2.140416784935894,2.962368316782488,3.344259646169462,3.10714720364831,1.6041307640364266,-2.249564647746638,
temp on open tree while lying at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.535835876624901,-3.7319946007281715,0.47684961305645857,1.9375317035454032,2.7598352158817647,3.147160857702602,2.935600888020815,1.501311038565575,-2.2881671627891933,
temp on open tree while lying at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.61838601726862,-3.85182654995117,0.34446643526587195,1.7709636281565508,2.5773831688688915,2.9839625349545145,2.797696081190452,1.3981596899409396,-2.325985902068112,
temp on open tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.681032582585772,-3.944325534045845,0.22839930137098463,1.6344609261237224,2.4155396934520468,2.833753830537603,2.6728672656079766,1.3157099693432315,-2.3501343443696783,
