"group","percentage","average_mean_ta","sd_ta","mean_clim_effect","sd_clim_effect","mean_clim_hab_effect","sd_clim_hab_effect"
"green",20.2,-0.25,3.12,3.42,0.62,0.57,0.46
"red",12.6,19.35,2.67,-1.13,1.09,-6.38,1.39
"yellow",67.2,6.82,6.39,2.32,0.95,-1.58,1.52
